id,Controle_S_41,Controle_S_40,Controle_S_39,AB_S_19,AB_S_20,AB_S_27,AB_S_28,AB_S_34,AB_S_38,AB_S_9,Alagille_S_13,Alagille_S_16,Alagille_S_2,Alagille_S_5,Alagille_S_6,Alagille_S_7,Alagille_S_8,BSEP_S_15,BSEP_S_17,BSEP_S_18,BSEP_S_24,BSEP_S_36,FIC1_S_23,MDR3_S_1,MDR3_S_14,MDR3_S_31,MDR3_S_33,TJP2_S_25,TJP2_S_26
ENSG00000004777,19,31,27,37,35,28,26,73.95,48,60,25.48,31,32,41.53,43,62.26,52,26,35.94,15,34.56,38.71,47.75,68,56.72,25,25,17.65,47
ENSG00000004779,878,488,379,590,752,394,774,615,631,713,528,434,837,690,334,555,378,550,533,556,640,834,538,750,628,535,395,555,574
ENSG00000004799,1257,3745,1459,2381,678,1685,390,1485,1961,2421,469,813,309,372,1243,1616,550,685,542,1746,443,202,1588,2752,1242,972,232,1282,1350
ENSG00000004809,0,1,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,2,1,3,0,2,4,1,2,2,0,1
ENSG00000004838,9.04,8.09,0,2,4.65,1,5,6.01,4,13.98,9.82,2,7,9,7,10.01,4.06,5,1.96,2,2.72,4.27,2.36,20,14.01,5.14,2,1,4
ENSG00000004846,0,0.99,3.02,2.17,6.77,0,0,0,4.49,2.37,0.56,2.09,1,0.01,3.14,6.01,0,2.07,1,0,2,0,1.15,3.84,2.34,0,1,0,2.34
ENSG00000004848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004864,1267,1757,907,1236,1604,1139,2077,772,1964,891,560,996,796,1173,566,1218,783,964,818,470,1957,1775,917,694,2089,722,1046,560,810
ENSG00000004866,367.45,479,362.49,340.91,382.43,245.12,365.26,240.93,475.5,402.69,357.01,309.8,402.91,477.71,243.61,399.14,290.57,349.77,246.58,291.93,520.62,424.74,366.55,379.88,462.46,346.79,264.29,347,251.15
ENSG00000004897,606,482,395,596,799,319,525,390,510,997,378,414,527.94,552,726.86,694,472,760.85,514,591,634.9,463,507,851,630,642,380,546,724
